Brand,Wine,Rating,Price
Sierra de Toloño,Camino de Santa Cruz 2018,"4,1","€65,70"
Viñedos de Páganos,El Puntido Gran Reserva 2007,"4,4","€65,50"
Rudeles,Cerro el Cuberillo 2015,"4,1","€65,48"
Marta Maté,Tinto 2020,"4,0",€65
Habla,No. 25 2019,"4,2",€65
Habla,No. 23 2017,"4,2",€65
Habla,No. 22 2016,"4,2",€65
Bodegas Marqués de Cáceres,Gaudium 2016,"4,4",€65
Telmo Rodriguez,As Caborcas Single Vineyard 2020,"4,1",€65
Bodegas Marqués de Cáceres,Gaudium 2019,"4,4",€65
Telmo Rodriguez,As Caborcas Single Vineyard 2019,"4,1",€65
Habla,No. 28 2019,"4,2",€65
Raúl Pérez,Ultreia el Rapolao Mencía 2021,"4,1","€64,95"
Bodegas La Horra,Corimbo I 2015,"4,2","€64,95"
Artadi,Valdegines 2021,"4,1","€64,80"
Protos,Gran Reserva 1994,"4,2","€64,03"
Bodega Contador (Benjamín Romeo),La Cueva del Contador Rioja 2011,"4,4","€63,96"
Bodega Contador (Benjamín Romeo),La Cueva del Contador Rioja 2014,"4,3","€63,96"
Bodegas Roda,Roda I Reserva Rioja 2018,"4,3","€63,95"
Sierra de Toloño,Tereseño 2020,"3,8","€63,61"
Benjamin de Rothschild - Vega Sicilia,Macán Clásico 2018,"4,4","€63,27"
Bodegas La Horra,Corimbo I 2017,"4,3","€62,95"
Telmo Rodriguez,Pegaso Arrebatacapas 2020,"4,2","€62,95"
Milsetentayseis,1076 Tinto 2020,"4,3","€62,90"
Bodegas La Horra,Corimbo I 2014,"4,3","€62,50"
Imperial,Rioja Gran Reserva 2017,"4,3",€62
El Sacramento,Tinto 2016,"4,1","€61,95"
Mas d'en Gil,Clos Fontà Priorat 2016,"4,2","€61,95"
Alto Moncayo,Garnacha 2020,"4,3","€61,25"
Egomei,Alma 2014,"4,1",€61
Egomei,Alma 2017,"4,0","€60,75"
Valserrano,Nico 2016,"4,2",€60
Telmo Rodriguez,Pago La Jara 2019,"4,1",€60
Jesus Madrazo,Selección Ribera del Duero 2019,"4,4","€59,95"
Lan,Culmen Reserva Rioja 2017,"4,4","€59,95"
Rolland & Galarreta 'R&G',Clos d'en Ferran 2018,"4,1","€59,95"
Áster,Finca El Otero 2019,"4,3","€59,95"
Valdevinas,Mirat Reserva 2009,"4,2","€59,95"
Valdevinas,Mirat Reserva 2005,"4,2","€59,95"
Jesus Madrazo,Selección Rioja 2019,"4,4","€59,95"
Cillar de Silos,Flor de Silos Ribera del Duero 2018,"4,2","€59,95"
Cote Entrevinos,Cote Luna 2019,"4,3","€59,95"
Alto Moncayo,Garnacha 2021,"4,3","€59,95"
Bodegas La Horra,Corimbo I 2016,"4,3","€59,95"
Sierra de Toloño,Camino de Santa Cruz 2020,"4,1","€59,94"
Bodegas Roda,Roda Reserva Rioja 2019,"4,2","€59,88"
Remelluri,Granja Gran Reserva Rioja 2005,"4,2","€59,50"
Familia Torres,Mas La Plana Cabernet Sauvignon 2013,"4,3","€59,50"
Vall Llach,Porrera Vi de Vila 2022,"4,3","€59,16"
Pujanza,Rioja Norte 2019,"4,2","€58,95"
Allende,Mingortiz Rioja 2016,"4,4","€58,95"
Bartolomé Vernet,Primitiu de Bellmunt 2019,"4,2","€58,25"
Pujanza,Rioja Norte 2018,"4,2","€57,95"
Marqués de Murrieta,Gran Reserva Rioja (Finca Ygay) 2016,"4,3","€57,95"
Ferrer Bobet,Priorat 2017,"4,3","€57,86"
Cillar de Silos,Torresilo Ribera del Duero 2001,"4,2","€57,50"
Benjamin de Rothschild - Vega Sicilia,Macán Clásico 2019,"4,3","€57,35"
Terra Remota,Clos Adrien 2014,"4,2","€56,95"
Hispano Suizas,Quod Superius 2018,"4,4","€56,95"
Balbas,Ancestral 2019,"4,5","€56,50"
Telmo Rodriguez,Pegaso Arrebatacapas 2015,"4,2","€56,49"
Telmo Rodriguez,Pegaso Arrebatacapas 2016,"4,1","€56,49"
Telmo Rodriguez,Pegaso Arrebatacapas 2019,"4,2","€56,49"
Telmo Rodriguez,Pegaso Arrebatacapas 2018,"4,2","€56,49"
Viñedos de Páganos,Calados de Puntido Tempranillo 2017,"4,1",€56
Martinez Lacuesta,125 Años 2010,"4,2","€55,81"
Benjamin de Rothschild - Vega Sicilia,Macán Clásico 2020,"4,3","€55,81"
Venus la Universal,Venus de la Figuera 2020,"4,3","€55,81"
Jaro,Chafandin 2018,"4,3","€55,76"
Gratavinum,GV5 Priorat 2019,"4,2","€55,70"
Dominio do Bibei,Lacima 2018,"4,3",€55
Marqués de Riscal,Rioja Gran Reserva 2018,"4,3",€55
Familia Torres,Perpetual 2018,"4,3",€55
Finca Antigua,Clavis Viñedo Pico Garbanzo 2014,"4,1",€55
El Pacto,Riojanda Viñedo Singular 2020,"4,2","€54,99"
El Pacto,Riojanda Viñedo Singular 2019,"4,1","€54,99"
Telmo Rodriguez,Ladeiras Do XIL Falcoeira A Capilla Single Vineyard 2019,"4,1","€54,99"
Pujanza,Rioja Norte 2017,"4,2","€54,95"
Callejo,Majuelos de Callejo 2020,"4,2","€54,95"
Venus la Universal,Venus de la Figuera 2018,"4,4","€54,95"
Telmo Rodriguez,Ladeiras Do XIL Falcoeira A Capilla Single Vineyard 2021,"4,2","€54,95"
Pinea,17 2020,"4,4","€54,95"
VALENCISO,Rioja Reserva 10 Años Después Edición Limitada 2012,"4,4","€54,95"
Carmelo Rodero,Reserva 2018,"4,4","€54,81"
Ferrer Bobet,Priorat Vinyes Velles 2018,"4,3","€54,75"
Altavins,Domus Pensi Criança 2018,"3,7","€54,74"
Bodega Numanthia,Numanthia 2018,"4,4","€53,95"
